module,function_name,runs,assume_free,filter_free,nb_samples,failed_health_check,violation_error,exceptions
python_by_contract_corpus.aoc2020.day_14_docking_data,parse_write,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_14_docking_data,sum_memory,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_15_rambunctious_recitation,solve,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_16_ticket_translation,applies,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_16_ticket_translation,compute_error_rate,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_16_ticket_translation,invalid_fields,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_16_ticket_translation,list_all_invalid_values,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_16_ticket_translation,parse_nearby_tickets,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_16_ticket_translation,parse_rules,True,False,True,100,False,False,
python_by_contract_corpus.aoc2020.day_17_conway_cubes,apply,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_17_conway_cubes,are_neighbours,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_17_conway_cubes,count_active,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_17_conway_cubes,list_neighbourhood,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_17_conway_cubes,parse_initial,False,False,False,1,True,False,"Data generation is extremely slow: Only produced 0 valid examples in True8 seconds (12 invalid ones and 0 exceeded maximum size). Try decreasing size of the data you're generating (with e.g.max_size or max_leaves parameters).
See https://hypothesis.readthedocs.io/en/latest/healthchecks.html for more information about this. If you want to disable just this health check, add HealthCheck.too_slow to the suppress_health_check settings for this test."
python_by_contract_corpus.aoc2020.day_17_conway_cubes,repr_activity,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_18_operation_order,compute,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_18_operation_order,extract_expression,True,False,True,100,False,False,
python_by_contract_corpus.aoc2020.day_18_operation_order,parse,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_18_operation_order,serialize,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_19_monster_messages,count_matching_messages,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_19_monster_messages,interpret_rule_0,False,False,False,0,False,False,<class 'NotImplementedError'> :     <python_by_contract_corpus.aoc2020.day_19_monster_messages.Node object at 0x7fc6e8da0d30>
python_by_contract_corpus.aoc2020.day_19_monster_messages,iterate,True,True,True,1,False,False,
python_by_contract_corpus.aoc2020.day_19_monster_messages,parse_rule,False,False,False,0,False,False,"<class 'black.parsing.InvalidInput'> :     Cannot parse: 3:101:     line = draw(hypothesis.strategies.from_regex(regex=r""^(?P<identifier>0|[1-9][0-9]*): (?P<body>""([^""]*)""|(0|[1-9][0-9]*)( (0|[1-9][0-9]*))*( \| (0|[1-9][0-9]*)( (0|[1-9][0-9]*))*)*)\Z""))"
python_by_contract_corpus.aoc2020.day_19_monster_messages,parse_rules,True,False,True,100,False,False,
python_by_contract_corpus.aoc2020.day_19_monster_messages,repr_rule_tree,True,True,True,1,False,False,
python_by_contract_corpus.aoc2020.day_1_report_repair,find_pair_with_sum,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_20_jurassic_jigsaw,parse_tile,False,False,False,0,True,False,"Data generation is extremely slow: Only produced 0 valid examples in True8 seconds (20 invalid ones and 0 exceeded maximum size). Try decreasing size of the data you're generating (with e.g.max_size or max_leaves parameters).
See https://hypothesis.readthedocs.io/en/latest/healthchecks.html for more information about this. If you want to disable just this health check, add HealthCheck.too_slow to the suppress_health_check settings for this test."
python_by_contract_corpus.aoc2020.day_20_jurassic_jigsaw,parse_tiles,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_20_jurassic_jigsaw,place_remaining_tiles,False,False,False,4,False,False,<class 'IndexError'> :     string index out of range
python_by_contract_corpus.aoc2020.day_20_jurassic_jigsaw,place_tiles,False,False,False,8,False,False,<class 'IndexError'> :     string index out of range
python_by_contract_corpus.aoc2020.day_20_jurassic_jigsaw,reverse_side,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_20_jurassic_jigsaw,transform_tile,False,False,False,0,False,False,<class 'IndexError'> :     string index out of range
python_by_contract_corpus.aoc2020.day_21_allergen_assessment,find_non_allergenic_ingredients,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_21_allergen_assessment,parse_ingredient_line,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_21_allergen_assessment,serialize_entry,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_21_allergen_assessment,solve,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_22_crab_combat,compute_score,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_22_crab_combat,parse_lines,True,False,False,100,False,False,
python_by_contract_corpus.aoc2020.day_22_crab_combat,play,True,False,True,100,False,False,
python_by_contract_corpus.aoc2020.day_22_crab_combat,play_a_round,True,False,True,100,False,False,
python_by_contract_corpus.aoc2020.day_23_crab_cups,crab_move,False,False,False,0,False,False,<class 'hypothesis.errors.Unsatisfiable'> :     Unable to satisfy assumptions of hypothesis test_crab_move.
python_by_contract_corpus.aoc2020.day_23_crab_cups,cup_circle_to_str,True,True,True,1,False,False,
python_by_contract_corpus.aoc2020.day_23_crab_cups,initialize_cups,True,True,False,100,False,False,
python_by_contract_corpus.aoc2020.day_23_crab_cups,solve_100_steps,False,False,False,3,True,False,"It looks like your strategy is filtering out a lot of data. Health check found 50 filtered examples but only 3 good ones. This will make your tests much slower, and also will probably distort the data generation quite a lot. You should adapt your strategy to filter less. This can also be caused by a low max_leaves parameter in recursive() calls
See https://hypothesis.readthedocs.io/en/latest/healthchecks.html for more information about this. If you want to disable just this health check, add HealthCheck.filter_too_much to the suppress_health_check settings for this test."
python_by_contract_corpus.aoc2020.day_24_lobby_layout,cell_as_tuple,True,True,True,12,False,False,
python_by_contract_corpus.aoc2020.day_24_lobby_layout,count_flips,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_24_lobby_layout,follow_directions,False,False,False,11,True,False,"It looks like your strategy is filtering out a lot of data. Health check found 50 filtered examples but only 9 good ones. This will make your tests much slower, and also will probably distort the data generation quite a lot. You should adapt your strategy to filter less. This can also be caused by a low max_leaves parameter in recursive() calls
See https://hypothesis.readthedocs.io/en/latest/healthchecks.html for more information about this. If you want to disable just this health check, add HealthCheck.filter_too_much to the suppress_health_check settings for this test."
python_by_contract_corpus.aoc2020.day_24_lobby_layout,next_cell,True,True,True,17,False,False,
python_by_contract_corpus.aoc2020.day_24_lobby_layout,parse_line,True,False,True,100,False,False,
python_by_contract_corpus.aoc2020.day_24_lobby_layout,stringify_directions,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_25_combo_breaker,deduce_encryption_key,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_25_combo_breaker,deduce_loop_size,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_25_combo_breaker,transform,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_2_password_philosophy,verify,True,True,False,100,False,False,
python_by_contract_corpus.aoc2020.day_2_password_philosophy,verify_line,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_3_toboggan_trajectory,count_trees,True,False,True,11,False,False,
python_by_contract_corpus.aoc2020.day_3_toboggan_trajectory,parse_input,True,False,False,100,False,False,
python_by_contract_corpus.aoc2020.day_4_passport_processing,blank_line_split,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_4_passport_processing,count_valid,False,False,False,2,True,False,"It looks like your strategy is filtering out a lot of data. Health check found 50 filtered examples but only 1 good ones. This will make your tests much slower, and also will probably distort the data generation quite a lot. You should adapt your strategy to filter less. This can also be caused by a low max_leaves parameter in recursive() calls
See https://hypothesis.readthedocs.io/en/latest/healthchecks.html for more information about this. If you want to disable just this health check, add HealthCheck.filter_too_much to the suppress_health_check settings for this test."
python_by_contract_corpus.aoc2020.day_4_passport_processing,is_valid,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_4_passport_processing,parse_passport_entries,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_5_binary_boarding,apply,True,False,False,100,False,False,
python_by_contract_corpus.aoc2020.day_5_binary_boarding,determine_column,True,True,True,8,False,False,
python_by_contract_corpus.aoc2020.day_5_binary_boarding,determine_id,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_5_binary_boarding,determine_row,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_5_binary_boarding,determine_row_and_column,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_6_custom_customs,solve,False,False,False,1,False,True,"File /home/lauren/.cache/pypoetry/virtualenvs/icontract-hypothesis-lauren-34UIxqQ7-py3.8/lib/python3.8/site-packages/python_by_contract_corpus/aoc2020/day_6_custom_customs.py, line 6 in <module>:
all(
        re.match(r""^[a-z]*$"", line)
        for line in input_string.split(""\n"")
    ):
all(
        re.match(r""^[a-z]*$"", line)
        for line in input_string.split(""\n"")
    ) was False, e.g., with
  line = '0'
input_string was '0'
input_string.split(""\n"") was ['0']"
python_by_contract_corpus.aoc2020.day_7_handy_haversacks,containers,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_7_handy_haversacks,count_containers,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_7_handy_haversacks,directly_contains,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_7_handy_haversacks,parse_bagexpr,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_7_handy_haversacks,parse_rule,True,False,True,100,False,False,
python_by_contract_corpus.aoc2020.day_7_handy_haversacks,parse_rules,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_8_handheld_halting,execute_instructions,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_8_handheld_halting,parse,True,False,True,100,False,False,
python_by_contract_corpus.aoc2020.day_8_handheld_halting,parse_line,True,True,True,100,False,False,
python_by_contract_corpus.aoc2020.day_9_encoding_error,solve,False,False,False,2,False,False,<class 'hypothesis.errors.InvalidArgument'> :     Invalid size min_size=-1 < 0
